PC,z,T,CI,ECN,EstadoRevision,procedencia,confianza,TextoFuente
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP32,0.2,"-0,44"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX32,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC32,0.2,93
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG32,0.2,41
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR32,0.2,"-1,40"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV33,0.2,36
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA33,0.2,79
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE33,0.2,21
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA34,0.2,"103
102"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG34,0.2,"54
53"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP34,0.2,"-0,47
-0,50"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX34,0.2,45
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC34,0.2,93
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG34,0.2,40
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR34,0.2,"-1,48"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV34,0.2,35
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA35,0.2,78
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE35,0.2,19
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX36,0.2,45
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC36,0.2,92
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG36,0.2,39
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR36,0.2,"-1,56"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV36,0.2,34
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA36,0.2,77
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE37,0.2,17
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!Q38,0.2,"58
58
58
57
57"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AD38,0.2,"68
67
66
66
65"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AL38,0.2,"+0,13
+0,10
+0,08
+0,05
+0,02"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT38,0.2,"51
51
51
50
50"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA38,0.2,"102
102
101
101
100."
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG38,0.2,"53
52
52
51
50"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP38,0.2,"-0,52
-0,55
-0,58
-0,61
-0,64"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX38,0.2,"45
44
44
44
44"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC38,0.2,92
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG38,0.2,39
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR38,0.2,"-1,64"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV38,0.2,34
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA38,0.2,75
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE38,0.2,15
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC39,0.2,"92
91"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG39,0.2,38
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR39,0.2,"-1,75"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV39,0.2,32
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA39,0.2,74
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE40,0.2,13
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG41,0.2,38
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR41,0.2,"-1,88"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV41,0.2,31
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA41,0.2,72
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE42,0.2,10
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC43,0.2,"91
90"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG43,0.2,"37
37"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR43,0.2,"-2,05
-2,33"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV43,0.2,"29
27"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA43,0.2,"69
6?."
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE44,0.2,"7
1"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!A46,0.2,--·-....   ·--------...--·--- ----·---�
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT47,0.2,"·-    - ....,   ... ---··-----  '""""      ·-·----"
